kepid,kepoi_name,ra,dec,koi_period,koi_prad,koi_disposition_pred
2572029,K04581.01,290.60806,37.801891,6.0059966,0.73,FALSE POSITIVE
7905106,K04582.01,296.33688,43.60009,4.22426989,0.35,CONFIRMED
9007151,K04583.01,285.66843,45.374771,330.906041,2.05,FALSE POSITIVE
4450844,K03168.01,287.31485,39.538181,56.3479517,1.06,FALSE POSITIVE
11181260,K04653.01,286.56033,48.893051,19.9778599,1.07,CONFIRMED
2558163,K04655.01,287.06534,37.899479,17.543847,1.15,FALSE POSITIVE
8107611,K04656.01,295.24191,43.972599,3.8183717,1.39,CONFIRMED
8752940,K04730.01,291.58875,44.907509,9.07829171,3.69,FALSE POSITIVE
4384909,K07693.01,296.22168,39.405762,6.41097179,1.4,CONFIRMED
11506654,K04586.01,291.51758,49.43462,75.2116373,2.83,CONFIRMED
5687700,K04587.01,285.22415,40.958931,6.36283414,1.12,FALSE POSITIVE
8806985,K04588.01,286.51355,45.038044,7.53737498,0.93,CONFIRMED
6527078,K04657.01,293.29279,41.997589,7.57600886,0.54,CONFIRMED
10120548,K04451.01,282.19565,47.105679,8.8303681,1.32,CONFIRMED
4474462,K04452.01,294.30099,39.519058,12.85755895,1.23,CONFIRMED
4141593,K07685.02,286.77313,39.277531,33.502923,1.08,CONFIRMED
10003058,K04519.01,288.01013,46.978519,148.568877,5.97,CONFIRMED
9031703,K04520.01,295.21426,45.324509,9.3335486,1.69,CONFIRMED
12204137,K04590.01,288.87082,50.815559,9.54060855,1.75,CONFIRMED
5389956,K04591.01,298.54257,40.51479,1.80926734,0.89,FALSE POSITIVE
10662202,K00750.02,290.46512,47.92918,5.04413987,1.18,CONFIRMED
3934657,K07676.01,284.73474,39.045361,5.3694084,0.62,FALSE POSITIVE
7515336,K04663.01,287.67059,43.197239,5.65690281,0.74,CONFIRMED
3557560,K04456.01,294.67126,38.698971,7.4299322,1.81,CONFIRMED
12109267,K04457.01,290.51242,50.649288,79.334347,1.56,FALSE POSITIVE
8700895,K04523.01,296.04425,44.80529,5.68251605,1.03,CONFIRMED
5003670,K04524.02,289.5484,40.1642,4.52628739,1.02,CONFIRMED
12265786,K04595.01,295.41479,50.979012,0.597018404,1.09,FALSE POSITIVE
10873178,K04597.01,296.3609,48.213001,4.82025124,0.78,CONFIRMED
11337012,K04666.01,284.04172,49.138199,12.4019263,1.49,CONFIRMED
8359569,K04667.01,289.63535,44.379711,152.823896,2.45,FALSE POSITIVE
9837828,K04670.01,294.58066,46.610592,6.80899076,89.29,FALSE POSITIVE
4857058,K03061.02,297.04208,39.912231,77.915425,1.17,CONFIRMED
9947389,K04460.01,290.14725,46.802872,284.727213,2.02,CONFIRMED
3765917,K04526.01,295.96893,38.867168,30.5392931,2.72,CONFIRMED
7833305,K04528.01,295.37476,43.500431,8.31224474,10.63,FALSE POSITIVE
12647577,K04530.01,290.73434,51.770962,12.6362048,1.1,CONFIRMED
4252671,K07687.01,288.86908,39.30986,23.266633,2.66,CONFIRMED
11153476,K04601.01,298.43478,48.706139,7.94004281,0.98,CONFIRMED
6144039,K04602.01,297.23273,41.433411,2.85855049,1.23,CONFIRMED
5985713,K03190.01,298.26816,41.251663,8.95294046,0.86,CONFIRMED
6839010,K04674.01,282.58282,42.346352,4.84350003,0.9,FALSE POSITIVE
9775385,K04462.01,293.85294,46.590809,45.163025,2.35,FALSE POSITIVE
6197344,K04463.01,289.41428,41.51004,36.7614011,1.52,FALSE POSITIVE
11357664,K04464.01,295.30652,49.179668,4.373570433,1.23,FALSE POSITIVE
7272132,K04466.01,288.63861,42.857288,154.674369,2.29,CONFIRMED
8430053,K04603.01,291.53922,44.44706,15.9513866,1.17,FALSE POSITIVE
12458605,K04605.01,290.42307,51.388729,7.7859111,0.68,FALSE POSITIVE
4953173,K04676.01,298.74335,40.07214,31.183688,3.21,FALSE POSITIVE
5352640,K04467.01,288.72598,40.531631,2.94242323,1.42,CONFIRMED
4048898,K07678.01,289.24884,39.106541,13.0914878,0.79,CONFIRMED
4587135,K04680.01,297.59964,39.626339,54.0812235,1.54,FALSE POSITIVE
5511659,K04541.01,283.25119,40.72311,8.5291223,2.08,CONFIRMED
7583650,K04614.01,281.73087,43.282341,6.4546845,1.38,CONFIRMED
3867794,K04685.01,295.73773,38.903912,0.494247662,1.51,FALSE POSITIVE
5819801,K04686.01,298.90576,41.04261,11.8299383,1.6,CONFIRMED
6276791,K04477.01,289.10422,41.69014,5.30179786,1.22,CONFIRMED
10140122,K04545.01,291.45813,47.15863,0.849362238,0.85,FALSE POSITIVE
5033823,K04546.01,297.27325,40.136761,0.741768294,72.36,FALSE POSITIVE
3223433,K04548.01,288.12555,38.347431,61.083322,1.61,FALSE POSITIVE
8803757,K04904.01,284.72797,45.064968,3.5944891,0.98,CONFIRMED
9479306,K04906.01,297.05664,46.08353,4.8608059,1.21,CONFIRMED
5437762,K04907.01,288.39761,40.6269,4.04481159,0.67,FALSE POSITIVE
4996057,K07712.01,286.69318,40.170109,4.8302364,1.06,FALSE POSITIVE
8349399,K04763.01,284.38248,44.308231,56.446465,1.57,CONFIRMED
6043562,K04764.01,292.18646,41.328041,31.4202111,1.45,CONFIRMED
4919550,K04766.01,290.46756,40.056438,5.56676609,1.12,CONFIRMED
5645170,K04837.01,298.12167,40.81358,5.38613715,0.86,FALSE POSITIVE
8216763,K04838.01,284.26859,44.19754,13.2965044,0.88,FALSE POSITIVE
9110610,K04839.01,298.40958,45.461639,21.8420304,2.01,CONFIRMED
5208962,K04912.01,297.19199,40.387951,0.876850385,1.35,FALSE POSITIVE
4742188,K07703.01,290.38721,39.829941,413.51856,1.96,FALSE POSITIVE
8301878,K03301.01,292.62964,44.283119,20.7106368,1.12,CONFIRMED
10221505,K04768.01,296.78934,47.234531,3.43633133,1.44,FALSE POSITIVE
11658036,K04771.01,289.68073,49.745831,142.703888,1.95,CONFIRMED
8397947,K04772.01,301.57855,44.31218,3.38080537,1.69,CONFIRMED
6665860,K04840.01,282.09314,42.160271,10.4716194,1.74,CONFIRMED
5769810,K04913.01,283.6788,41.096882,6.78788113,2.44,CONFIRMED
12071754,K04914.01,296.40094,50.558338,5.47455167,1.4,CONFIRMED
10384298,K03224.01,281.32745,47.584869,3.43861067,1.01,CONFIRMED
3109550,K03225.01,289.67175,38.297871,4.8754765,0.8,CONFIRMED
6131130,K03307.01,294.13626,41.456692,10.5071781,1.41,CONFIRMED
4742452,K07704.01,290.46088,39.837212,5.4398033,1.0,CONFIRMED
7906892,K04773.01,296.8432,43.697441,8.8493948,0.82,CONFIRMED
4277304,K04774.01,295.12238,39.391033,51.567801,1.3,CONFIRMED
8626325,K04775.01,292.40323,44.782009,16.4491515,2.75,CONFIRMED
3098605,K04844.01,286.14777,38.241798,0.428046051,0.87,FALSE POSITIVE
8320630,K04846.01,298.28214,44.27206,19.254536,1.32,CONFIRMED
9005321,K04848.01,284.76764,45.341228,384.6961,1.78,FALSE POSITIVE
5563300,K03309.01,298.96829,40.797352,71.05457555,5.91,CONFIRMED
12253769,K03310.01,288.80457,50.99062,20.5512722,1.64,FALSE POSITIVE
8054719,K04776.01,299.34955,43.8503,7.5861587,1.07,CONFIRMED
4762283,K07706.01,295.79251,39.89257,42.049523793,1.19,FALSE POSITIVE
3849187,K04780.01,291.13574,38.90543,6.60180003,1.25,FALSE POSITIVE
2976017,K04849.01,287.81729,38.194809,3.19938075,0.62,FALSE POSITIVE
6786224,K04850.01,294.33328,42.26413,3.04185157,0.71,CONFIRMED
11072016,K04852.01,284.94226,48.666512,1.89873195,0.93,FALSE POSITIVE
3245969,K01101.02,294.11566,38.393478,11.39110963,1.9,FALSE POSITIVE
7902003,K03236.01,295.43915,43.676311,7.13044117,1.18,CONFIRMED
11905409,K03312.01,286.50211,50.246189,18.0939004,1.91,CONFIRMED
9571186,K03313.01,283.04764,46.265331,34.9524256,21.74,CONFIRMED
5612697,K03206.01,289.57462,40.807594,15.1516409,1.38,FALSE POSITIVE
8973285,K04782.01,297.9487,45.255039,7.4213444,1.73,FALSE POSITIVE
3758922,K04853.01,294.47876,38.883659,17.7412303,1.14,FALSE POSITIVE
8360041,K04854.01,289.80804,44.362518,2.63527677,0.76,CONFIRMED
9782748,K04856.01,296.52145,46.540539,147.388124,3.03,FALSE POSITIVE
2860656,K04857.01,293.17578,38.042019,4.11497357,1.17,CONFIRMED
7094944,K04859.01,283.06223,42.629002,7.5019743,1.19,CONFIRMED
6425597,K04861.01,285.09976,41.874378,29.1206519,1.6,FALSE POSITIVE
10917433,K03248.01,290.46509,48.332249,6.91261536,0.64,CONFIRMED
5091479,K07715.01,289.44324,40.253529,25.8616058,1.12,FALSE POSITIVE
8874090,K01404.02,287.05453,45.18037,18.9060921,0.87,CONFIRMED
8331612,K03318.02,301.27869,44.25053,25.6970688,3.83,CONFIRMED
8328916,K04790.01,300.58502,44.2131,6.07855,1.14,FALSE POSITIVE
10155029,K03208.01,296.67984,47.173313,2.131660527,0.56,CONFIRMED
11618569,K04792.01,295.57159,49.607479,5.75902182,0.91,FALSE POSITIVE
11973517,K04862.01,296.59799,50.356651,0.903763067,1.08,FALSE POSITIVE
7345248,K04864.01,285.45886,42.931049,5.66494448,0.78,FALSE POSITIVE
6690171,K03320.01,291.42685,42.164082,85.0624157,21.26,CONFIRMED
5193659,K03323.01,293.73444,40.307201,14.3196417,2.06,CONFIRMED
6220312,K04793.01,296.12253,41.561138,5.2736268,0.89,FALSE POSITIVE
6358937,K04794.01,290.09427,41.742779,24.5041103,1.03,CONFIRMED
7771181,K04797.01,297.34842,43.421219,9.97202023,1.26,CONFIRMED
4366323,K03258.01,291.93756,39.419941,40.3511707,1.88,CONFIRMED
2853029,K03259.01,291.56476,38.074589,72.9332762,2.45,CONFIRMED
6955671,K03329.01,293.94241,42.4259,12.6878176,2.16,CONFIRMED
5097856,K07716.01,291.37067,40.216061,483.36405,1.27,FALSE POSITIVE
8278073,K04799.01,281.55267,44.228531,12.0729757,1.69,CONFIRMED
10810859,K04801.01,296.82895,48.173279,82.401274,2.21,FALSE POSITIVE
7017274,K03209.01,285.92322,42.54985,11.91256675,2.61,CONFIRMED
6767227,K04871.01,288.52902,42.27626,4.08197713,0.6,CONFIRMED
2986833,K04875.01,290.78214,38.18779,0.912179022,0.65,CONFIRMED
11853130,K03263.01,285.09586,50.10096,76.87935893,7.71,CONFIRMED
9345933,K03264.01,293.25903,45.837448,13.0151826,1.36,CONFIRMED
11338056,K04735.01,284.76093,49.141979,2.87998334,0.85,CONFIRMED
10676750,K04804.01,296.09842,47.992699,21.08678557,2.08,FALSE POSITIVE
9581589,K04877.01,288.97183,46.265202,5.19206571,0.99,CONFIRMED
11804437,K04878.01,286.22812,50.01358,449.01499,1.04,FALSE POSITIVE
8280511,K01151.04,283.00296,44.284229,17.4532945,0.76,CONFIRMED
4813793,K07708.01,283.69885,39.936642,6.70242786,1.82,FALSE POSITIVE
7266212,K04737.01,286.21729,42.86092,7.79534033,1.07,CONFIRMED
9419020,K04808.01,297.2905,45.955029,2.40174996,0.65,CONFIRMED
4270799,K04810.01,293.65369,39.31641,115.238544,3.17,CONFIRMED
8811490,K04811.01,288.85754,45.097691,21.7434141,2.23,CONFIRMED
8094120,K04881.01,290.55087,43.994362,5.6795377,1.16,CONFIRMED
9935642,K04885.01,283.45764,46.819538,9.33955596,2.67,CONFIRMED
7285757,K03271.02,292.95819,42.854889,7.41834569,1.12,CONFIRMED
4262040,K03202.01,291.5072,39.323662,92.461135,2.86,FALSE POSITIVE
4840672,K04813.01,293.24039,39.949444,9.2294726,0.82,FALSE POSITIVE
7287677,K04815.01,293.54733,42.828442,18.3721835,1.12,CONFIRMED
7692248,K04886.01,294.95074,43.324341,17.99562529,28.98,FALSE POSITIVE
6691169,K04890.01,291.72189,42.117298,63.095068,11.67,CONFIRMED
8280511,K01151.05,283.00296,44.284229,21.7203362,0.8,CONFIRMED
6520519,K04749.01,291.21164,41.9856,1.97650073,0.97,FALSE POSITIVE
9459162,K04818.01,289.3483,46.05468,3.79892774,1.46,CONFIRMED
9969287,K04820.01,298.38007,46.8894,14.7401061,1.48,CONFIRMED
